# l                Dl               -dDl             +dDl            
  2.00000000e+00   2.25895000e+02   1.32369000e+02   5.33062000e+02
  3.00000000e+00   9.36920000e+02   4.50471000e+02   1.21230800e+03
  4.00000000e+00   6.92238000e+02   2.94111000e+02   6.66469000e+02
  5.00000000e+00   1.50170500e+03   5.74432000e+02   1.15580400e+03
  6.00000000e+00   5.57611000e+02   2.01242000e+02   3.75763000e+02
  7.00000000e+00   1.15264300e+03   3.81584000e+02   6.70824000e+02
  8.00000000e+00   6.15846000e+02   1.91997000e+02   3.23446000e+02
  9.00000000e+00   6.97821000e+02   2.14638000e+02   3.49581000e+02
  1.00000000e+01   8.03658000e+02   2.32846000e+02   3.67945000e+02
  1.10000000e+01   8.69580000e+02   2.40260000e+02   3.71043000e+02
  1.20000000e+01   7.64074000e+02   2.04951000e+02   3.10576000e+02
  1.30000000e+01   5.99003000e+02   1.58593000e+02   2.35581000e+02
  1.40000000e+01   8.08139000e+02   1.99370000e+02   2.90751000e+02
  1.50000000e+01   1.02211100e+03   2.43487000e+02   3.49700000e+02
  1.60000000e+01   6.21292000e+02   1.50977000e+02   2.15798000e+02
  1.70000000e+01   1.03537800e+03   2.36167000e+02   3.32095000e+02
  1.80000000e+01   6.74593000e+02   1.56341000e+02   2.16872000e+02
  1.90000000e+01   9.51642000e+02   2.11554000e+02   2.90997000e+02
  2.00000000e+01   6.59863000e+02   1.44780000e+02   1.97637000e+02
  2.10000000e+01   6.01924000e+02   1.36050000e+02   1.85258000e+02
  2.20000000e+01   6.05295000e+02   1.31698000e+02   1.77041000e+02
  2.30000000e+01   7.48519000e+02   1.55938000e+02   2.08700000e+02
  2.40000000e+01   8.50496000e+02   1.75600000e+02   2.33216000e+02
  2.50000000e+01   8.14268000e+02   1.69433000e+02   2.24306000e+02
  2.60000000e+01   8.23803000e+02   1.64398000e+02   2.15355000e+02
  2.70000000e+01   1.00402200e+03   1.90293000e+02   2.47879000e+02
  2.80000000e+01   1.14988900e+03   2.15090000e+02   2.79078000e+02
  2.90000000e+01   9.79567000e+02   1.83071000e+02   2.36655000e+02
  3.00000000e+01   1.10280565e+03   2.74694273e+02   2.74694273e+02
  4.77112240e+01   1.47933552e+03   5.07654876e+01   5.07654876e+01  
  7.64716065e+01   2.03496833e+03   5.47101576e+01   5.47101576e+01   
  1.05917385e+02   2.95539416e+03   6.49766440e+01   6.49766440e+01   
  1.35605348e+02   3.86951392e+03   7.69143744e+01   7.69143744e+01   
  1.65405597e+02   4.88946506e+03   8.65856259e+01   8.65856259e+01  
  1.95266870e+02   5.46410945e+03   9.05533459e+01   9.05533459e+01   
  2.25164945e+02   5.79343954e+03   8.71348811e+01   8.71348811e+01   
  2.55086908e+02   5.37288375e+03   7.69383697e+01   7.69383697e+01   
  2.85025248e+02   4.62767753e+03   6.25199141e+01   6.25199141e+01   
  3.14975304e+02   3.60423851e+03   4.71589439e+01   4.71589439e+01   
  3.44934027e+02   2.63120029e+03   3.38762191e+01   3.38762191e+01   
  3.74899344e+02   2.03305943e+03   2.48190562e+01   2.48190562e+01   
  4.04869791e+02   1.75336253e+03   2.07109083e+01   2.07109083e+01   
  4.34844309e+02   1.78757901e+03   2.06713695e+01   2.06713695e+01   
  4.64822111e+02   2.16204649e+03   2.27523861e+01   2.27523861e+01   
  4.94802601e+02   2.42208480e+03   2.49726104e+01   2.49726104e+01   
  5.24785320e+02   2.57348050e+03   2.59184118e+01   2.59184118e+01   
  5.54769905e+02   2.54629768e+03   2.50510538e+01   2.50510538e+01  
  5.84756069e+02   2.36064530e+03   2.27209283e+01   2.27209283e+01  
  6.14743583e+02   2.09543505e+03   1.98505488e+01   1.98505488e+01  
  6.44732258e+02   1.88467698e+03   1.75025264e+01   1.75025264e+01  
  6.74721939e+02   1.81316288e+03   1.64306044e+01   1.64306044e+01  
  7.04712498e+02   1.88319393e+03   1.67990643e+01   1.67990643e+01  
  7.34703827e+02   2.09713072e+03   1.81645476e+01   1.81645476e+01  
  7.64695836e+02   2.31873584e+03   1.97363538e+01   1.97363538e+01  
  7.94688447e+02   2.46458129e+03   2.07062220e+01   2.07062220e+01  
  8.24681596e+02   2.52191260e+03   2.05197620e+01   2.05197620e+01  
  8.54675226e+02   2.39412077e+03   1.90381031e+01   1.90381031e+01  
  8.84669287e+02   2.08333867e+03   1.65790348e+01   1.65790348e+01  
  9.14663738e+02   1.74072841e+03   1.37374917e+01   1.37374917e+01  
  9.44658541e+02   1.41867342e+03   1.11420483e+01   1.11420483e+01  
  9.74653663e+02   1.17295424e+03   9.28646475e+00   9.28646475e+00  
  1.00464908e+03   1.06240462e+03   8.37987000e+00   8.37987000e+00  
  1.03464476e+03   1.04786241e+03   8.30074773e+00   8.30074773e+00  
  1.06464068e+03   1.13235191e+03   8.68575434e+00   8.68575434e+00  
  1.09463683e+03   1.21101851e+03   9.11274984e+00   9.11274984e+00   
  1.12463318e+03   1.23187224e+03   9.26050628e+00   9.26050628e+00  
  1.15462972e+03   1.20578050e+03   8.98528122e+00   8.98528122e+00  
  1.18462643e+03   1.11792662e+03   8.33171031e+00   8.33171031e+00  
  1.21462331e+03   9.68422243e+02   7.54508665e+00   7.54508665e+00  
  1.24462034e+03   8.64397967e+02   6.64322644e+00   6.64322644e+00  
  1.27461751e+03   7.61605936e+02   5.98585735e+00   5.98585735e+00  
  1.30461481e+03   7.32339633e+02   5.68666086e+00   5.68666086e+00  
  1.33461223e+03   7.37290337e+02   5.71800485e+00   5.71800485e+00  
  1.36460976e+03   7.74925851e+02   5.94089388e+00   5.94089388e+00  
  1.39460740e+03   8.06625346e+02   6.17243469e+00   6.17243469e+00  
  1.42460514e+03   8.09057064e+02   6.25632882e+00   6.25632882e+00  
  1.45460297e+03   7.77751089e+02   6.11143430e+00   6.11143430e+00  
  1.48460089e+03   7.28943580e+02   5.74544667e+00   5.74544667e+00  
  1.51459890e+03   6.48288645e+02   5.24258624e+00   5.24258624e+00  
  1.54459698e+03   5.51286111e+02   4.72393254e+00   4.72393254e+00  
  1.57459513e+03   4.76600995e+02   4.30079600e+00   4.30079600e+00  
  1.60459335e+03   4.19541270e+02   4.04442416e+00   4.04442416e+00  
  1.63459164e+03   3.95211496e+02   3.96833591e+00   3.96833591e+00  
  1.66458999e+03   3.91657847e+02   4.03423921e+00   4.03423921e+00  
  1.69458839e+03   3.92947519e+02   4.17356282e+00   4.17356282e+00  
  1.72458686e+03   3.97735803e+02   4.31665510e+00   4.31665510e+00  
  1.75458537e+03   3.83011743e+02   4.41586492e+00   4.41586492e+00  
  1.78458394e+03   3.75391143e+02   4.45733427e+00   4.45733427e+00  
  1.81458255e+03   3.40139516e+02   4.45892926e+00   4.45892926e+00  
  1.84458121e+03   3.07539268e+02   4.45749277e+00   4.45749277e+00  
  1.87457991e+03   2.73859536e+02   4.49350451e+00   4.49350451e+00  
  1.90457865e+03   2.49846901e+02   4.59652807e+00   4.59652807e+00  
  1.93457743e+03   2.44246300e+02   4.77758093e+00   4.77758093e+00  
  1.96457625e+03   2.31913142e+02   5.02866666e+00   5.02866666e+00  
  1.99457510e+03   2.34658998e+02   5.42839879e+00   5.42839879e+00  
  2.02457399e+03   2.31744942e+02   5.86880339e+00   5.86880339e+00  
  2.05457291e+03   2.19660112e+02   6.20024969e+00   6.20024969e+00  
  2.08457186e+03   2.14252650e+02   6.53323083e+00   6.53323083e+00  
  2.11457084e+03   1.96716713e+02   6.87393629e+00   6.87393629e+00  
  2.14456985e+03   1.76431323e+02   7.23789713e+00   7.23789713e+00  
  2.17456889e+03   1.52227062e+02   7.64417922e+00   7.64417922e+00  
  2.20456795e+03   1.38671109e+02   8.10965997e+00   8.10965997e+00  
  2.23456704e+03   1.21459219e+02   8.64541703e+00   8.64541703e+00  
  2.26456615e+03   1.16155153e+02   9.25556670e+00   9.25556670e+00  
  2.29456529e+03   1.17768892e+02   9.93861339e+00   9.93861339e+00  
  2.32456444e+03   1.16129438e+02   1.06905048e+01   1.06905048e+01  
  2.35456362e+03   1.09714703e+02   1.15085752e+01   1.15085752e+01  
  2.38456282e+03   1.20361413e+02   1.23926722e+01   1.23926722e+01  
  2.41456204e+03   9.04515698e+01   1.33433129e+01   1.33433129e+01  
  2.44456128e+03   1.03080972e+02   1.43819739e+01   1.43819739e+01  
  2.47456054e+03   7.36743738e+01   1.55113561e+01   1.55113561e+01  
  2.49902400e+03   6.13290585e+01   2.09398269e+01   2.09398269e+01 
