# z_bin mean_mu std_mu
1.116293e-02 3.345636e+01 5.787165e-02
1.336680e-02 3.379575e+01 3.993612e-02
1.600578e-02 3.412368e+01 2.785051e-02
1.916576e-02 3.456043e+01 2.752670e-02
2.294961e-02 3.488906e+01 1.874069e-02
2.748050e-02 3.526738e+01 1.918459e-02
3.290591e-02 3.570517e+01 1.736414e-02
3.940244e-02 3.609887e+01 2.089841e-02
4.718157e-02 3.649200e+01 2.134775e-02
5.649652e-02 3.692427e+01 2.566793e-02
6.765049e-02 3.732869e+01 3.032436e-02
8.100656e-02 3.770352e+01 2.651030e-02
9.699949e-02 3.823478e+01 4.123440e-02
1.161499e-01 3.858560e+01 2.488712e-02
1.390811e-01 3.900214e+01 1.892019e-02
1.665395e-01 3.942274e+01 1.707523e-02
1.994190e-01 3.982683e+01 1.692032e-02
2.387898e-01 4.026979e+01 1.472418e-02
2.859335e-01 4.073505e+01 1.451447e-02
3.423847e-01 4.115271e+01 1.303987e-02
4.099808e-01 4.161949e+01 1.794737e-02
4.909224e-01 4.205099e+01 1.943375e-02
5.878440e-01 4.252219e+01 2.331822e-02
7.039006e-01 4.303345e+01 2.881102e-02
8.428700e-01 4.327504e+01 5.043822e-02
1.009276e+00 4.405055e+01 8.790702e-02
1.208535e+00 4.471548e+01 9.244049e-02
1.447133e+00 4.490434e+01 8.888090e-02
1.732837e+00 4.533583e+01 1.426126e-01
2.074947e+00 4.542330e+01 2.596695e-01
