# z       Moduli    Error
0.504299 22.93445 0.12605
0.496005 22.8802 0.11765
0.678997 24.0377 0.2056
0.868006 24.34685 0.17385
0.799997 24.3605 0.17435
0.370894 22.28785 0.1245
0.355297 22.05915 0.12645
0.284998 21.40915 0.1028
0.467996 23.21635 0.1587
0.948999 24.41155 0.1642
0.694998 23.79645 0.24445
0.898999 24.40275 0.16645
0.791003 24.2188 0.11585
0.591996 23.3354 0.1666
0.210999 20.64495 0.10525
0.860000 24.1237 0.1478
0.560004 23.1648 0.1335
0.998006 24.69965 0.1408
0.584200 23.34385 0.1258
0.798005 23.85445 0.1588
0.914998 24.37895 0.13735
0.950003 24.66675 0.15105
0.735002 23.8481 0.15575
0.766999 24.10805 0.1549
0.985003 24.828 0.153
0.702004 23.7492 0.1738
0.835995 24.1545 0.1807
0.368994 22.1401 0.1211
0.356996 21.95965 0.1186
0.520995 23.15915 0.14165
0.699997 23.7115 0.26255
0.744096 23.8056 0.16465
0.589999 23.2429 0.12625
0.620000 23.5114 0.1131
1.002004 25.0798 0.19135
0.610001 23.47615 0.1329
0.357796 21.9694 0.11425
0.450997 22.4159 0.12515
0.552001 22.98515 0.13425
0.750001 23.763 0.19155
0.821998 24.3356 0.14625
0.949999 24.68515 0.14485
0.340003 21.9463 0.10555
0.810003 24.0795 0.17055
0.613000 23.7392 0.1593
0.549997 22.8926 0.1438
1.030999 24.7289 0.16015
0.424003 22.35675 0.1192
0.702998 23.90875 0.1805
0.686995 23.844 0.2326
0.934001 24.54795 0.15235
0.751001 23.81055 0.18275
0.470000 22.73255 0.11785
0.961002 24.80665 0.17245
0.842003 24.22255 0.1456
0.563999 23.2428 0.11755
0.830004 24.39785 0.1526
0.580004 23.22495 0.12065
0.866006 24.3693 0.14625
0.860003 24.4442 0.16535
0.587002 23.5694 0.1417
0.490006 22.8653 0.1136
0.690005 23.6132 0.1518
0.322995 21.79365 0.10225
0.183995 20.4558 0.10405
0.679997 23.59755 0.1484
0.920002 24.355 0.1708
0.427000 22.751 0.1294
0.697999 23.95255 0.2153
0.573995 23.38495 0.13845
0.509997 23.11305 0.1165
0.639999 23.62155 0.1659
0.349997 22.2272 0.1136
0.347998 22.14445 0.11065
0.353700 22.23665 0.113
0.870002 24.3402 0.1332
0.923999 24.7687 0.10935
0.419000 22.59095 0.12095
0.889995 24.1804 0.14085
0.479997 22.7752 0.1151
0.579999 23.36785 0.1608
0.804996 24.09575 0.1555
0.663998 23.6337 0.1611
0.744999 24.00735 0.1527
0.736003 23.77845 0.1399
0.370003 22.04575 0.11295
0.849996 24.31865 0.1304
0.219002 20.8469 0.1023
0.647002 23.6259 0.1613
0.600004 23.4022 0.15455
0.759994 23.92525 0.14995
0.470001 22.804 0.1221
0.498998 22.9275 0.13225
0.508995 22.9705 0.1253
0.588995 23.44375 0.14055
0.701005 23.77905 0.15635
0.763000 24.05415 0.16035
0.790000 24.1069 0.13815
0.406998 22.564 0.11045
0.810004 24.55735 0.16345
0.585005 23.6081 0.12955
0.721996 24.0226 0.19335
0.839001 24.3054 0.1427
0.808000 24.2544 0.1837
0.499001 23.0505 0.13595
0.532000 22.9345 0.1665
0.819997 24.1676 0.18525
0.123998 19.4684 0.10355
0.441996 22.57415 0.1349
0.682999 23.9441 0.2905
0.725997 23.90005 0.1628
0.404000 22.44625 0.1075
0.689995 23.7527 0.18375
0.576002 23.2437 0.1229
0.719995 23.87645 0.2029
0.552002 23.16815 0.1249
0.849995 24.3105 0.16975
0.436997 22.36675 0.109
0.302999 21.64245 0.0939
0.581997 23.52355 0.1372
0.347006 22.11525 0.111
0.332002 21.7829 0.10685
0.449003 22.78895 0.14135
0.291199 21.47215 0.12535
0.460698 22.62945 0.13775
0.633997 23.66065 0.20445
0.270000 21.1762 0.0993
0.926997 24.7416 0.1923
0.627002 23.46015 0.1303
0.609996 23.3767 0.1266
0.579997 23.2373 0.13895
0.720998 23.82525 0.2057
0.767998 24.24705 0.1593
0.369001 22.24455 0.1019
0.850006 24.33175 0.14855
0.778001 24.0942 0.17835
0.585003 23.2686 0.09915
0.590005 23.30085 0.13005
0.769999 24.2078 0.16885
0.514997 23.12745 0.1329
0.639003 23.37 0.2329
0.436004 22.5623 0.1145
0.585003 23.46355 0.14025
0.663397 23.74875 0.17955
0.619997 23.4108 0.1628
0.415000 22.5154 0.11755
0.450004 22.36265 0.1377
0.732001 24.04855 0.24055
0.739999 24.26275 0.21515
0.347996 21.74 0.12
0.512999 23.18845 0.1355
0.642997 23.60755 0.1943
0.470002 22.65205 0.12925
0.262995 21.15515 0.1079
0.742000 23.92255 0.19885
0.909997 24.6116 0.16365
0.337001 21.9137 0.10655
0.982999 24.92305 0.1439
0.812997 24.26675 0.14105
0.816998 24.3431 0.12085
0.959998 24.5736 0.1577
0.755999 24.03965 0.1583
0.879995 24.42165 0.14325
0.811003 24.20795 0.1668
0.628997 23.4134 0.138
0.936001 24.7653 0.2009
0.698997 23.78265 0.16195
0.769004 24.3849 0.17855
0.866000 24.39625 0.15285
0.516002 22.98745 0.11725
0.472004 23.1005 0.141
0.930000 24.7789 0.1829
0.631997 23.4092 0.1432
0.617005 23.56625 0.1433
0.566004 23.2891 0.13595
0.558997 23.2494 0.1349
0.737002 24.06925 0.19205
0.263005 21.15835 0.1082
0.763006 23.97575 0.15445
0.859998 24.54425 0.17845
0.560006 23.6061 0.15165
0.479001 22.74835 0.1138
0.919996 24.57175 0.18725
0.473995 22.6952 0.109
0.890999 24.5781 0.1577
0.629999 23.1617 0.17705
0.733995 24.02845 0.2108
0.417000 22.38625 0.1152
0.533999 22.98355 0.1266
0.733001 24.09175 0.17825
0.607997 23.5447 0.14865
0.699995 23.8387 0.16475
0.981002 24.78095 0.143
0.756997 24.0557 0.15165
0.643000 23.6045 0.2013
0.515003 23.02365 0.1762
0.804995 24.0139 0.1301
0.800003 23.82255 0.1606
0.715001 23.84395 0.19425
0.766003 24.2307 0.1806
0.901003 24.5128 0.1511
0.717995 23.68915 0.15095
0.579000 23.1779 0.1197
0.960003 24.80925 0.14255
0.648002 23.53665 0.159
