# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.015494230403e+03       3.132583191816e-02       1.840428634526e-06       2.618910599590e+00       4.898850254824e-08       2.982482123226e-03      -1.231504874472e-05 
    3       9.612426035837e+02       4.127358923622e-02       3.681738906357e-06       2.969577991238e+00       6.048244502342e-08       3.000074112293e-03      -1.341684093479e-05 
    4       9.095160989094e+02       3.679651173070e-02       6.138165733813e-06       2.802793708383e+00       7.028874826851e-08       2.935524978898e-03      -1.160397660544e-05 
    5       8.705884148645e+02       2.534048599601e-02       9.210816072894e-06       2.408564754492e+00       7.881305739494e-08       2.840208323504e-03      -8.198404635220e-06 
    6       8.436989302951e+02       1.454172953512e-02       1.290101683247e-05       1.956079862212e+00       8.627665895555e-08       2.734880329522e-03      -4.323223519644e-06 
    7       8.265344384623e+02       7.872928839682e-03       1.721028027641e-05       1.545462507381e+00       9.285624307557e-08       2.628997396503e-03      -8.816135804341e-07 
    8       8.162125655599e+02       4.946605820260e-03       2.214026558947e-05       1.222632248837e+00       9.866757090327e-08       2.525765319648e-03       1.545979783091e-06 
    9       8.112534014437e+02       3.923498035190e-03       2.769273807362e-05       1.000210207586e+00       1.038300004326e-07       2.426308207956e-03       2.732198840857e-06 
   10       8.103022687256e+02       3.391136258557e-03       3.386952751908e-05       8.711686019380e-01       1.084707423511e-07       2.333043014703e-03       2.769439412098e-06 
   11       8.122775936193e+02       2.882280255922e-03       4.067248730892e-05       8.180842223418e-01       1.093133153254e-07       2.255051510758e-03       1.986678485530e-06 
   12       8.169407547445e+02       2.484734392040e-03       4.810345576596e-05       8.192181807928e-01       1.129017078403e-07       2.173287705660e-03       8.015383256074e-07 
   13       8.232593021936e+02       2.330041284498e-03       5.616422113897e-05       8.540386857562e-01       1.161188563385e-07       2.096082814221e-03      -3.744294740813e-07 
   14       8.307321466164e+02       2.394090038301e-03       6.485649145552e-05       9.069271434183e-01       1.190041197285e-07       2.018084937579e-03      -1.243072631274e-06 
   15       8.395759422408e+02       2.576265095411e-03       7.418187025003e-05       9.672213470699e-01       1.215936319190e-07       1.947037957267e-03      -1.648897169860e-06 
   16       8.497053665412e+02       2.825567925026e-03       8.414183891442e-05       1.028764149746e+00       1.239181814900e-07       1.882582078601e-03      -1.602495060145e-06 
   17       8.603063029747e+02       3.168321023987e-03       9.473774612887e-05       1.089812201065e+00       1.260036484982e-07       1.821331728719e-03      -1.235574172082e-06 
   18       8.716872243341e+02       3.658068402874e-03       1.059708010864e-04       1.150891793112e+00       1.278223106675e-07       1.759635380654e-03      -7.474781035013e-07 
   19       8.839427659804e+02       4.310702954699e-03       1.178420943918e-04       1.213674147752e+00       1.295427551704e-07       1.700162165754e-03      -2.928038828812e-07 
   20       8.965739606997e+02       5.121990557600e-03       1.303525708491e-04       1.280003389599e+00       1.310265306241e-07       1.644300158680e-03      -2.723749966483e-08 
   21       9.096720402046e+02       6.081815378495e-03       1.435030958837e-04       1.350227103429e+00       1.323601997652e-07       1.593578465650e-03       4.861560331388e-09 
   22       9.232770710287e+02       7.176054305441e-03       1.572944236768e-04       1.423674113953e+00       1.335193123245e-07       1.546891031034e-03      -1.688228305000e-07 
   23       9.373217118535e+02       8.407974542649e-03       1.717272763869e-04       1.498345564811e+00       1.345732011265e-07       1.503241726652e-03      -4.758131413180e-07 
   24       9.515675744572e+02       9.784166099611e-03       1.868023119967e-04       1.571382418246e+00       1.354737504477e-07       1.459990988148e-03      -8.016959383842e-07 
   25       9.660890786553e+02       1.130239671072e-02       2.025202161367e-04       1.640253118510e+00       1.362749967895e-07       1.417371439851e-03      -1.064482895222e-06 
   26       9.809466801616e+02       1.295896238136e-02       2.188816640771e-04       1.702488672190e+00       1.369558057299e-07       1.375823427091e-03      -1.193341187337e-06 
   27       9.961564229358e+02       1.476524193632e-02       2.358873995953e-04       1.756916662695e+00       1.375429379326e-07       1.336616732313e-03      -1.179571995200e-06 
   28       1.011648015566e+03       1.673774640207e-02       2.535382084877e-04       1.802952523654e+00       1.380005372164e-07       1.300530763473e-03      -1.049651744188e-06 
   29       1.027450956472e+03       1.888899710796e-02       2.718350061097e-04       1.840813587060e+00       1.384009440710e-07       1.267545713257e-03      -8.502609959801e-07 
   30       1.043530650653e+03       2.123093490384e-02       2.907787818340e-04       1.871214517815e+00       1.387642276243e-07       1.236168181674e-03      -6.556924984194e-07 
   31       1.059775859282e+03       2.377507952449e-02       3.103705925513e-04       1.894986904210e+00       1.390109496548e-07       1.204020822018e-03      -5.506947309151e-07 
   32       1.076213136610e+03       2.652805338946e-02       3.306116121544e-04       1.912152396586e+00       1.391854272500e-07       1.171725513335e-03      -5.466310795456e-07 
   33       1.092853510434e+03       2.949426730240e-02       3.515031159478e-04       1.922512178091e+00       1.393158366685e-07       1.140747801662e-03      -6.220062870541e-07 
   34       1.109660039313e+03       3.267773577370e-02       3.730464578748e-04       1.925752758730e+00       1.393663457833e-07       1.112202128850e-03      -7.436841640660e-07 
   35       1.126661776988e+03       3.608470660494e-02       3.952430030640e-04       1.920984475373e+00       1.393684698203e-07       1.086118957417e-03      -8.805759921239e-07 
   36       1.143867342963e+03       3.972188214414e-02       4.180941849627e-04       1.907023787786e+00       1.393288624691e-07       1.061628838106e-03      -9.934819301057e-07 
   37       1.161252591291e+03       4.359566946337e-02       4.416014611925e-04       1.882707747793e+00       1.392087668309e-07       1.037474030588e-03      -1.041717185586e-06 
   38       1.178843265440e+03       4.771205790092e-02       4.657660760523e-04       1.847603157802e+00       1.390461097816e-07       1.013757889345e-03      -1.025541395787e-06 
   39       1.196651090491e+03       5.207666111325e-02       4.905892253818e-04       1.801527945373e+00       1.388762181209e-07       9.908583316926e-04      -9.632206043152e-07 
   40       1.214646108429e+03       5.669471844576e-02       5.160721219262e-04       1.744366261791e+00       1.386859520984e-07       9.689353087087e-04      -8.819513850613e-07 
   41       1.232779578017e+03       6.157109256412e-02       5.422158917375e-04       1.676083298858e+00       1.384288032536e-07       9.479666956816e-04      -8.122543752828e-07 
   42       1.251072045716e+03       6.671032065759e-02       5.690212196011e-04       1.596766148867e+00       1.381270769201e-07       9.280060797378e-04      -7.646192783854e-07 
   43       1.269546659118e+03       7.211653842838e-02       5.964885904369e-04       1.506602821493e+00       1.378058862792e-07       9.089631528932e-04      -7.437298933394e-07 
   44       1.288202001016e+03       7.779343656786e-02       6.246183785052e-04       1.405877053635e+00       1.374579837566e-07       8.904871323065e-04      -7.543457074790e-07 
   45       1.307023777074e+03       8.374442729732e-02       6.534107708469e-04       1.294815906083e+00       1.370558840729e-07       8.721215350580e-04      -7.994053404738e-07 
   46       1.326029842164e+03       8.997325789981e-02       6.828655243155e-04       1.173067340619e+00       1.366235070241e-07       8.539614914496e-04      -8.734300545333e-07 
   47       1.345234450866e+03       9.648354124289e-02       7.129821257961e-04       1.040074312931e+00       1.361887557302e-07       8.362119088846e-04      -9.661252617025e-07 
   48       1.364633676240e+03       1.032785701169e-01       7.437598467640e-04       8.952139228441e-01       1.357594635733e-07       8.189986016278e-04      -1.063603470895e-06 
   49       1.384203764767e+03       1.103613050158e-01       7.751977332740e-04       7.377929884555e-01       1.353173013979e-07       8.023523195715e-04      -1.147973408214e-06 
   50       1.403915301821e+03       1.177339708632e-01       8.072946422952e-04       5.671814410930e-01       1.348296821010e-07       7.862435685966e-04      -1.202264076406e-06 
   51       1.423784057578e+03       1.253967464882e-01       8.400493855699e-04       3.832654645911e-01       1.343104858723e-07       7.707449137914e-04      -1.228631067354e-06 
   52       1.443831099067e+03       1.333486983017e-01       8.734606074990e-04       1.861097051723e-01       1.337796702424e-07       7.559046362706e-04      -1.236722746485e-06 
   53       1.464067306247e+03       1.415881103651e-01       9.075267345644e-04      -2.416778817427e-02       1.332441520436e-07       7.416891471322e-04      -1.239243098411e-06 
   54       1.484492470974e+03       1.501124537694e-01       9.422459674996e-04      -2.473935038707e-01       1.326942267749e-07       7.279705842182e-04      -1.252268287140e-06 
   55       1.505101786207e+03       1.589193314679e-01       9.776164907086e-04      -4.834081394459e-01       1.321118899635e-07       7.145861692659e-04      -1.291211903862e-06 
   56       1.525909265592e+03       1.680096577867e-01       1.013637179386e-03      -7.323006036148e-01       1.315105665606e-07       7.015735057168e-04      -1.356153952021e-06 
   57       1.546928563575e+03       1.773852151369e-01       1.050307054344e-03      -9.942285373992e-01       1.309076921449e-07       6.889990723681e-04      -1.441689194026e-06 
   58       1.568165495131e+03       1.870477549851e-01       1.087625080779e-03      -1.269352394625e+00       1.303121192889e-07       6.768875030289e-04      -1.540673138633e-06 
   59       1.589617422662e+03       1.969990052361e-01       1.125590168900e-03      -1.557836176834e+00       1.297219138613e-07       6.652153893746e-04      -1.644053318879e-06 
   60       1.611272642894e+03       2.072406776168e-01       1.164201174566e-03      -1.859848168199e+00       1.291219500883e-07       6.539048168788e-04      -1.740694496166e-06 
   61       1.633117577482e+03       2.177732704902e-01       1.203457151377e-03      -2.175509795531e+00       1.284919541818e-07       6.428607555259e-04      -1.819812522204e-06 
   62       1.655161617894e+03       2.285921465813e-01       1.243358171629e-03      -2.504727131963e+00       1.278413284501e-07       6.321139278890e-04      -1.879668724212e-06 
   63       1.677416794644e+03       2.396905839495e-01       1.283904691594e-03      -2.847322704457e+00       1.271850167839e-07       6.217137264492e-04      -1.921461502027e-06 
   64       1.699890107430e+03       2.510608726433e-01       1.325097324767e-03      -3.203083138325e+00       1.265330511765e-07       6.116850630627e-04      -1.947016403976e-06 
   65       1.722583159634e+03       2.626942838635e-01       1.366936850481e-03      -3.571758246199e+00       1.258893359251e-07       6.020250434339e-04      -1.958846048905e-06 
   66       1.745491792828e+03       2.745810391257e-01       1.409424222517e-03      -3.953060116983e+00       1.252503296122e-07       5.926995112515e-04      -1.960212068634e-06 
   67       1.768605721277e+03       2.867102794244e-01       1.452560577718e-03      -4.346662204821e+00       1.246036216091e-07       5.836394619867e-04      -1.955189070842e-06 
   68       1.791914487426e+03       2.990713799826e-01       1.496347164069e-03      -4.752252934502e+00       1.239340847175e-07       5.747685235674e-04      -1.947822785753e-06 
   69       1.815427546661e+03       3.116582727861e-01       1.540785088764e-03      -5.169711167151e+00       1.232489551561e-07       5.661037924916e-04      -1.939151802543e-06 
   70       1.839157614353e+03       3.244659485363e-01       1.585875534328e-03      -5.598964815232e+00       1.225599865899e-07       5.576787677312e-04      -1.929404474587e-06 
   71       1.863114504778e+03       3.374891920715e-01       1.631619841071e-03      -6.039939946486e+00       1.218759955622e-07       5.495131633036e-04      -1.918829886566e-06 
   72       1.887304927284e+03       3.507225859434e-01       1.678019513637e-03      -6.492561267171e+00       1.212021824211e-07       5.416112038720e-04      -1.907698195087e-06 
   73       1.911732282452e+03       3.641605139949e-01       1.725076227562e-03      -6.956752605308e+00       1.205394003747e-07       5.339598598996e-04      -1.896300955951e-06 
   74       1.936396458262e+03       3.777971649368e-01       1.772791835821e-03      -7.432437393923e+00       1.198833711780e-07       5.265270223542e-04      -1.884951438065e-06 
   75       1.961293626262e+03       3.916265359248e-01       1.821168375387e-03      -7.919539154294e+00       1.192238459569e-07       5.192596169653e-04      -1.873984924014e-06 
   76       1.986419292761e+03       4.056417909873e-01       1.870207755039e-03      -8.417941198577e+00       1.185491419955e-07       5.121027326487e-04      -1.863739520246e-06 
   77       2.011778545367e+03       4.198331933316e-01       1.919910738578e-03      -8.927356185820e+00       1.178638037076e-07       5.050675374504e-04      -1.854491808932e-06 
   78       2.037377313307e+03       4.341898007307e-01       1.970277787239e-03      -9.447433546302e+00       1.171756570479e-07       4.981783014425e-04      -1.846504159189e-06 
   79       2.063219143292e+03       4.487000677270e-01       2.021309362004e-03      -9.977797804615e+00       1.164905536384e-07       4.914521350936e-04      -1.840041733664e-06 
   80       2.089305062428e+03       4.633518359802e-01       2.073005923619e-03      -1.051804822667e+01       1.158119747496e-07       4.848981655587e-04      -1.835371461487e-06 
   81       2.115633441126e+03       4.781323246147e-01       2.125367932609e-03      -1.106775846669e+01       1.151406083299e-07       4.785166864164e-04      -1.832760966555e-06 
   82       2.142199856016e+03       4.930281205677e-01       2.178395849295e-03      -1.162647621424e+01       1.144738983883e-07       4.722982808531e-04      -1.832477451142e-06 
   83       2.168996952859e+03       5.080251689370e-01       2.232090133814e-03      -1.219372284120e+01       1.138055660332e-07       4.662229182939e-04      -1.834786534823e-06 
   84       2.196017463347e+03       5.231093944061e-01       2.286451369721e-03      -1.276902513348e+01       1.131286251710e-07       4.602687873584e-04      -1.839860703010e-06 
   85       2.223264130418e+03       5.382687050306e-01       2.341480658321e-03      -1.335201730349e+01       1.124467742100e-07       4.544434339527e-04      -1.847481053247e-06 
   86       2.250741184651e+03       5.534913044849e-01       2.397179290040e-03      -1.394235532057e+01       1.117657975996e-07       4.487586241232e-04      -1.857259522438e-06 
   87       2.278451253839e+03       5.687650914596e-01       2.453548628722e-03      -1.453968651348e+01       1.110901371593e-07       4.432207524691e-04      -1.868716964990e-06 
   88       2.306395278903e+03       5.840776606158e-01       2.510590113713e-03      -1.514364975659e+01       1.104226506422e-07       4.378303215647e-04      -1.881276997398e-06 
   89       2.334572429810e+03       5.994163035389e-01       2.568305261964e-03      -1.575387565618e+01       1.097643554411e-07       4.325814064791e-04      -1.894259690335e-06 
   90       2.362980021496e+03       6.147680096933e-01       2.626695670119e-03      -1.636998673661e+01       1.091141570898e-07       4.274611043936e-04      -1.906875108250e-06 
   91       2.391613429782e+03       6.301194673758e-01       2.685763016612e-03      -1.699159762664e+01       1.084685622095e-07       4.224489693174e-04      -1.918216696468e-06 
