# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.015494230560e+03       3.132583202593e-02       1.840535661758e-06       2.618910599021e+00       4.898850767723e-08       2.982482176402e-03      -1.231504919805e-05 
    3       9.612426035502e+02       4.127358944872e-02       3.681952963993e-06       2.969577990387e+00       6.048245210002e-08       3.000074187074e-03      -1.341684165093e-05 
    4       9.095160987938e+02       3.679651208363e-02       6.138522503403e-06       2.802793707617e+00       7.028875706418e-08       2.935525074301e-03      -1.160397734448e-05 
    5       8.705884148860e+02       2.534048652837e-02       9.211351239716e-06       2.408564753935e+00       7.881306794878e-08       2.840208443000e-03      -8.198405162991e-06 
    6       8.436989304997e+02       1.454173028344e-02       1.290176608605e-05       1.956079861952e+00       8.627667142007e-08       2.734880471235e-03      -4.323223712218e-06 
    7       8.265344387275e+02       7.872929838789e-03       1.721127931079e-05       1.545462507391e+00       9.285625763398e-08       2.628997550527e-03      -8.816134486062e-07 
    8       8.162125658993e+02       4.946607105128e-03       2.214155010323e-05       1.222632248874e+00       9.866758771603e-08       2.525765483948e-03       1.545980124358e-06 
    9       8.112534020202e+02       3.923499641330e-03       2.769434376958e-05       1.000210207533e+00       1.038300196472e-07       2.426308393138e-03       2.732199228425e-06 
   10       8.103022696513e+02       3.391138221705e-03       3.387149010375e-05       8.711686017517e-01       1.084707641275e-07       2.333043220582e-03       2.769439695593e-06 
   11       8.122775943953e+02       2.882282611746e-03       4.067484249168e-05       8.180842222415e-01       1.093133361920e-07       2.255051571517e-03       1.986677986858e-06 
   12       8.169407556449e+02       2.484737176026e-03       4.810623925802e-05       8.192181807494e-01       1.129017320798e-07       2.173287761921e-03       8.015374466157e-07 
   13       8.232593031882e+02       2.330044532424e-03       5.616746865208e-05       8.540386856876e-01       1.161188826185e-07       2.096083026525e-03      -3.744303772291e-07 
   14       8.307321484337e+02       2.394093785671e-03       6.486023870061e-05       9.069271433159e-01       1.190041476401e-07       2.018085320882e-03      -1.243073016554e-06 
   15       8.395759436030e+02       2.576269378155e-03       7.418615293567e-05       9.672213466859e-01       1.215936633126e-07       1.947038366664e-03      -1.648897404817e-06 
   16       8.497053684863e+02       2.825572778910e-03       8.414669274532e-05       1.028764149506e+00       1.239182145139e-07       1.882582476772e-03      -1.602494753101e-06 
   17       8.603063044180e+02       3.168326484836e-03       9.474320680431e-05       1.089812200623e+00       1.260036846687e-07       1.821332134799e-03      -1.235573644470e-06 
   18       8.716872257587e+02       3.658074506139e-03       1.059769042989e-04       1.150891792427e+00       1.278223492942e-07       1.759635692749e-03      -7.474777093036e-07 
   19       8.839427678780e+02       4.310709735886e-03       1.178488758257e-04       1.213674146992e+00       1.295427954863e-07       1.700162324723e-03      -2.928037511524e-07 
   20       8.965739625699e+02       5.121998052437e-03       1.303600661798e-04       1.280003388937e+00       1.310265741184e-07       1.644300243046e-03      -2.723755601670e-08 
   21       9.096720418662e+02       6.081823622466e-03       1.435113407765e-04       1.350227102965e+00       1.323602471578e-07       1.593578570698e-03       4.861365885359e-09 
   22       9.232770729770e+02       7.176063333803e-03       1.573034537865e-04       1.423674113635e+00       1.335193619153e-07       1.546891208746e-03      -1.688232236439e-07 
   23       9.373217142401e+02       8.407984391553e-03       1.717371273575e-04       1.498345564318e+00       1.345732519912e-07       1.503241993317e-03      -4.758137174029e-07 
   24       9.515675768306e+02       9.784176806123e-03       1.868130194615e-04       1.571382417006e+00       1.354738040498e-07       1.459991326981e-03      -8.016965340875e-07 
   25       9.660890808114e+02       1.130240831032e-02       2.025318157190e-04       1.640253116145e+00       1.362750543307e-07       1.417371850634e-03      -1.064483353995e-06 
   26       9.809466824539e+02       1.295897490755e-02       2.188941913902e-04       1.702488668696e+00       1.369558668213e-07       1.375823938544e-03      -1.193341423981e-06 
   27       9.961564260918e+02       1.476525542406e-02       2.359008902440e-04       1.756916658332e+00       1.375430019373e-07       1.336617335481e-03      -1.179571936501e-06 
   28       1.011648020492e+03       1.673776088863e-02       2.535526980691e-04       1.802952518881e+00       1.380006038242e-07       1.300531387783e-03      -1.049651322886e-06 
   29       1.027450963459e+03       1.888901263028e-02       2.718505302147e-04       1.840813582245e+00       1.384010131129e-07       1.267546281371e-03      -8.502602141775e-07 
   30       1.043530658958e+03       2.123095149742e-02       2.907953760488e-04       1.871214513102e+00       1.387642990351e-07       1.236168635912e-03      -6.556914750735e-07 
   31       1.059775867245e+03       2.377509722341e-02       3.103882924583e-04       1.894986899545e+00       1.390110234943e-07       1.204021136544e-03      -5.506937087499e-07 
   32       1.076213143158e+03       2.652807222788e-02       3.306304533338e-04       1.912152392088e+00       1.391855036310e-07       1.171725700432e-03      -5.466302998505e-07 
   33       1.092853515746e+03       2.949428731509e-02       3.515231339789e-04       1.922512174223e+00       1.393159157116e-07       1.140747924228e-03      -6.220059251301e-07 
   34       1.109660044741e+03       3.267775699572e-02       3.730676883373e-04       1.925752756229e+00       1.393664275927e-07       1.112202298098e-03      -7.436842955495e-07 
   35       1.126661783562e+03       3.608472906926e-02       3.952654815381e-04       1.920984474710e+00       1.393685545069e-07       1.086119262801e-03      -8.805765792577e-07 
   36       1.143867350801e+03       3.972190588057e-02       4.181179470304e-04       1.907023788928e+00       1.393289501412e-07       1.061629310023e-03      -9.934827890635e-07 
   37       1.161252599621e+03       4.359569449931e-02       4.416265424380e-04       1.882707750179e+00       1.392088575758e-07       1.037474632393e-03      -1.041717988148e-06 
   38       1.178843273478e+03       4.771208426704e-02       4.657925120599e-04       1.847603160653e+00       1.390462036902e-07       1.013758567850e-03      -1.025541832914e-06 
   39       1.196651097733e+03       5.207668884596e-02       4.906170517358e-04       1.801527947772e+00       1.388763152832e-07       9.908590344089e-04      -9.632204643274e-07 
   40       1.214646114732e+03       5.669474758845e-02       5.161013742112e-04       1.744366262677e+00       1.386860525840e-07       9.689359872181e-04      -8.819505989526e-07 
   41       1.232779583610e+03       6.157112316538e-02       5.422466055380e-04       1.676083297171e+00       1.384289070912e-07       9.479673099154e-04      -8.122530387590e-07 
   42       1.251072050975e+03       6.671035275890e-02       5.690534304973e-04       1.596766144205e+00       1.381271840968e-07       9.280066040835e-04      -7.646175741122e-07 
   43       1.269546664509e+03       7.211657205902e-02       5.965223340024e-04       1.506602814424e+00       1.378059967216e-07       9.089635822971e-04      -7.437280755365e-07 
   44       1.288202007102e+03       7.779347174254e-02       6.246536903068e-04       1.405877045882e+00       1.374580973009e-07       8.904874888196e-04      -7.543441129185e-07 
   45       1.307023784486e+03       8.374446401910e-02       6.534476864424e-04       1.294815900252e+00       1.370560004627e-07       8.721218674023e-04      -7.994043634219e-07 
   46       1.326029851442e+03       8.997329618132e-02       6.829040792498e-04       1.173067338356e+00       1.366236260309e-07       8.539618479487e-04      -8.734299918789e-07 
   47       1.345234462392e+03       9.648358111451e-02       7.130223555987e-04       1.040074314202e+00       1.361888772116e-07       8.362123265648e-04      -9.661262320242e-07 
   48       1.364633690203e+03       1.032786116300e-01       7.438017869470e-04       8.952139256215e-01       1.357595875067e-07       8.189991015663e-04      -1.063605360068e-06 
   49       1.384203781126e+03       1.103613482467e-01       7.752414193302e-04       7.377929883903e-01       1.353174279193e-07       8.023529016924e-04      -1.147975809031e-06 
   50       1.403915320314e+03       1.177340159070e-01       8.073401096963e-04       5.671814320937e-01       1.348298115059e-07       7.862442111380e-04      -1.202266314476e-06 
   51       1.423784077884e+03       1.253967934243e-01       8.400966697660e-04       3.832654424512e-01       1.343106184644e-07       7.707455904574e-04      -1.228632542935e-06 
   52       1.443831120853e+03       1.333487471803e-01       8.735097439171e-04       1.861096689482e-01       1.337798062632e-07       7.559053218076e-04      -1.236723076487e-06 
   53       1.464067329175e+03       1.415881612021e-01       9.075777586065e-04      -2.416783561056e-02       1.332442916319e-07       7.416898183793e-04      -1.239242183026e-06 
   54       1.484492494702e+03       1.501125065413e-01       9.422989145403e-04      -2.473935552526e-01       1.326943699190e-07       7.279712212826e-04      -1.252266383325e-06 
   55       1.505101810418e+03       1.589193861177e-01       9.776713960952e-04      -4.834081838461e-01       1.321120364897e-07       7.145867564263e-04      -1.291209607888e-06 
   56       1.525909290097e+03       1.680097142686e-01       1.013694078444e-03      -7.323006315643e-01       1.315107162723e-07       7.015740310675e-04      -1.356151852125e-06 
   57       1.546928588359e+03       1.773852734312e-01       1.050365982381e-03      -9.942285426641e-01       1.309078448698e-07       6.889995284883e-04      -1.441687744025e-06 
   58       1.568165520382e+03       1.870478151027e-01       1.087686073079e-03      -1.269352374763e+00       1.303122748901e-07       6.768878881134e-04      -1.540672615404e-06 
   59       1.589617448797e+03       1.969990672237e-01       1.125653260728e-03      -1.557836133775e+00       1.297220722490e-07       6.652157084662e-04      -1.644053775725e-06 
   60       1.611272670591e+03       2.072407415615e-01       1.164266401166e-03      -1.859848108854e+00       1.291221112338e-07       6.539050832062e-04      -1.740695711928e-06 
   61       1.633117607599e+03       2.177733365141e-01       1.203524547971e-03      -2.175509731118e+00       1.284921181187e-07       6.428609900127e-04      -1.819814018083e-06 
   62       1.655161651052e+03       2.285922148011e-01       1.243427773426e-03      -2.504727073095e+00       1.278414952297e-07       6.321141521915e-04      -1.879670020982e-06 
   63       1.677416831073e+03       2.396906544640e-01       1.283976533796e-03      -2.847322659559e+00       1.271851864586e-07       6.217139604957e-04      -1.921462209412e-06 
   64       1.699890146915e+03       2.510609455299e-01       1.325171442568e-03      -3.203083113257e+00       1.265332237945e-07       6.116853242761e-04      -1.947016246954e-06 
   65       1.722583201459e+03       2.626943591750e-01       1.367013279066e-03      -3.571758243862e+00       1.258895115238e-07       6.020253458814e-04      -1.958844896333e-06 
   66       1.745491835716e+03       2.745811168873e-01       1.409502997066e-03      -3.953060136911e+00       1.252505082105e-07       5.926998647178e-04      -1.960209964266e-06 
   67       1.768605763328e+03       2.867103596298e-01       1.452641733406e-03      -4.346662242755e+00       1.246038031982e-07       5.836398709693e-04      -1.955186266815e-06 
   68       1.791914526263e+03       2.990714625978e-01       1.496430736068e-03      -4.752252982834e+00       1.239342692598e-07       5.747689870962e-04      -1.947819725897e-06 
   69       1.815427580228e+03       3.116583577769e-01       1.540871112235e-03      -5.169711218221e+00       1.232491426138e-07       5.661043069030e-04      -1.939148931410e-06 
   70       1.839157641194e+03       3.244660358762e-01       1.585964044424e-03      -5.598964862328e+00       1.225601769336e-07       5.576793272359e-04      -1.929402172685e-06 
   71       1.863114524116e+03       3.374892817432e-01       1.631710872933e-03      -6.039939984006e+00       1.218761887706e-07       5.495137597081e-04      -1.918828452439e-06 
   72       1.887304939105e+03       3.507226779405e-01       1.678113102400e-03      -6.492561290803e+00       1.212023784813e-07       5.416118262840e-04      -1.907697825956e-06 
   73       1.911732287597e+03       3.641606083230e-01       1.725172408350e-03      -6.956752612207e+00       1.205395992812e-07       5.339604944153e-04      -1.896301726877e-06 
   74       1.936396458518e+03       3.777972616154e-01       1.772890643751e-03      -7.432437382903e+00       1.198835729328e-07       5.265276517270e-04      -1.884953279602e-06 
   75       1.961293624455e+03       3.916266349889e-01       1.821269845570e-03      -7.919539126017e+00       1.192240505679e-07       5.192602202567e-04      -1.873987598287e-06 
   76       1.986419292551e+03       4.056418924856e-01       1.870311922573e-03      -8.417941155381e+00       1.185493494760e-07       5.121032862346e-04      -1.863742636233e-06 
   77       2.011778550072e+03       4.198332973138e-01       1.920017638539e-03      -8.927356130328e+00       1.178640140740e-07       5.050680205684e-04      -1.854494971476e-06 
   78       2.037377325528e+03       4.341899072437e-01       1.970387454675e-03      -9.447433481032e+00       1.171758703179e-07       4.981786983994e-04      -1.846507017753e-06 
   79       2.063219164817e+03       4.487001768146e-01       2.021421831933e-03      -9.977797731954e+00       1.164907698289e-07       4.914524362687e-04      -1.840043994245e-06 
   80       2.089305094138e+03       4.633519476826e-01       2.073121231026e-03      -1.051804814884e+01       1.158121938739e-07       4.848983684760e-04      -1.835372899395e-06 
